# Band 2A   Etalon 1A   Slice 8
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness        wavelength
0.0  926  12  11.5368209257  1.74488154812  -0.00287183297997  7.20758141666
0.0  927  23  23.4230902684  1.71761829872  0.00496002747353  7.22405539092
0.0  927  35  35.2793652682  1.70227556556  0.0299366070554  7.24060205537
0.0  928  47  47.3538562187  1.64989230172  0.048557089263  7.2572231378
0.0  929  59  59.485541494  1.48430259886  0.047089130771  7.27392259707
0.0  929  72  71.5585397898  1.59687844132  0.00222210941522  7.29069615473
0.0  930  84  83.9036468346  1.70534543011  0.0494046152932  7.30755733591
0.0  930  96  96.2281998463  1.61390650392  0.0948063754124  7.32448606613
0.0  931  109  108.668739856  1.56344259411  0.0234620554028  7.34149910688
0.0  931  121  121.176415677  1.66491854685  -0.0138738968999  7.35858704736
0.0  932  134  133.877859644  1.68507700843  0.0222971033976  7.37575406621
0.0  932  147  146.578388032  1.70403301484  -0.0347242033755  7.3930018908
0.0  933  159  159.501105794  1.62693878894  0.0177629058815  7.41033439147
0.0  933  172  172.481770108  1.65157793422  0.0262635552904  7.4277404601
0.0  934  186  185.517062552  1.59971982202  -0.00866795054949  7.44523069133
0.0  934  199  198.619155611  1.54268549852  -0.020209536061  7.46281116155
0.0  935  212  211.982665749  1.66051735671  0.048567474311  7.48046540087
0.0  935  225  225.328721539  1.55356259957  0.0993279911128  7.49820975433
0.0  936  239  238.791224862  1.6289754204  0.0296543172154  7.51603192907
0.0  936  252  252.366480964  1.5319396289  0.101101988977  7.53394238624
0.0  937  266  266.015703545  1.80526532753  0.04855720235  7.55193643168
0.0  937  280  279.798201704  1.6525426297  0.015046762847  7.5700217338
0.0  937  294  293.664276529  1.64266738115  0.0102794679157  7.58818685258
0.0  938  308  307.755322581  1.68196605505  0.0200597253002  7.60644596181
0.0  938  322  321.8584629  1.70154004717  0.0136445930998  7.62478801897
0.0  938  336  336.094241828  1.70283711058  0.0333453729037  7.6432169222
0.0  939  351  350.532151123  1.70259051271  0.0705937642097  7.66173844531
0.0  939  365  365.001426042  1.70249345059  0.0396148452891  7.6803446471
0.0  939  380  379.561313036  1.53208667218  0.00720966650684  7.69904812526
0.0  939  394  394.311143973  1.60709276894  0.0818760740626  7.71784197575
0.0  939  409  409.07978598  1.69092023174  -0.00744352409081  7.73672166641
0.0  940  424  424.148182145  1.71469135752  0.0321084820002  7.7556949654
0.0  940  439  439.220361035  1.72339705203  0.0413960902246  7.77476341225
0.0  940  454  454.432362773  1.68698259738  0.0469544754275  7.79392293448
0.0  940  470  469.729487848  1.71322558208  0.00174011855256  7.81317756701
0.0  940  485  485.240585619  1.80906765553  0.0288844889533  7.8325368347
0.0  940  501  500.827846479  1.7819295731  0.000790233174536  7.85198214587
