# Band 2A   Etalon 1A   Slice 12
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  679  10  10.377816459  1.58247523112  0.0384051651925
0.0  679  23  22.5157192284  1.53145350923  0.0281228820634
0.0  680  35  34.7243538057  1.59582535567  -0.00776689356245
0.0  681  47  47.0913229752  1.64386612822  0.0371246705496
0.0  681  60  59.5216129536  1.54693777261  0.0411309092755
0.0  682  72  72.0331887694  1.63178072451  0.0618912512143
0.0  682  85  84.6302983066  1.47041261136  0.0231453401502
0.0  683  97  97.3899634981  1.47902905718  0.086606086258
0.0  683  110  110.228505941  1.55219093543  0.0983891461068
0.0  684  123  123.110551028  1.59269132861  0.0373734714869
0.0  684  136  136.155488077  1.6007441155  0.0585728198906
0.0  685  149  149.267473022  1.57146609275  0.0622053815032
0.0  685  162  162.48527059  1.46514860018  0.0413377039557
0.0  686  176  175.762559036  1.65523153716  -0.00438809364375
0.0  686  189  189.229167841  1.65101596688  0.0310800549631
0.0  687  203  202.721427843  1.64209988501  0.00722601594376
0.0  687  216  216.415502861  1.58996156312  0.0746161646934
0.0  687  230  230.189127364  1.6478071164  0.0992313956751
0.0  688  244  244.002158464  1.68704328613  0.0829891787671
0.0  688  258  257.976771924  1.66701205952  0.0765046644454
0.0  689  272  272.044350545  1.66743016317  0.086437054361
0.0  689  286  286.287783927  1.59159276711  0.120071521138
0.0  689  301  300.556746197  1.51725235818  0.019388456946
0.0  690  315  314.951833988  1.72156698729  -0.00788812478941
0.0  690  330  329.537513562  1.66916722272  0.025860737315
0.0  690  344  344.23509046  1.71385818899  0.0513099368476
0.0  690  359  359.023752937  1.76850668832  0.0429295122722
0.0  691  374  373.875155552  1.76503263761  0.0483374326011
0.0  691  389  388.910811935  1.77300608262  0.0616270376748
0.0  691  404  404.088925723  1.75832263833  0.0873856562489
0.0  691  419  419.384716549  1.65125223637  0.118014110807
0.0  691  435  434.76703448  1.7100230142  0.063701007946
0.0  692  450  450.298116634  1.69490011158  0.100460034204
0.0  692  466  465.970880808  1.79746843418  0.0481009186797
0.0  692  482  481.761305335  1.75689401856  -0.00202266230117
0.0  692  498  497.711650876  1.80000544065  -0.00300204356328
0.0  692  514  513.81152371  1.86118213851  0.00787095280504
0.0  692  530  530.065770159  1.89313469235  0.0630370966652
0.0  692  546  546.40663954  1.81700605171  0.0819190436465
0.0  692  563  562.880902338  1.86736588403  0.0735215550983
0.0  692  579  579.504256049  1.76690596265  0.0807872518762
0.0  692  596  596.335548936  1.80175615814  0.130849994267
0.0  692  613  613.248655476  1.87681641484  0.0962430807872
0.0  692  630  630.342196393  1.84759952901  0.0916511791208
0.0  691  648  647.565635758  1.92197694844  0.0143759285356
0.0  691  665  665.009884381  1.9903838847  0.0170769310026
0.0  691  683  682.549901676  1.95655802259  0.0115355407129
0.0  691  700  700.271915359  2.0077976081  0.0576640138309
0.0  691  718  718.100636909  2.09263530116  0.0524659314568
0.0  690  736  736.188292344  2.07911822946  0.0748312721943
0.0  690  754  754.349485216  2.08888929731  0.0873292321726
0.0  690  773  772.630561452  2.06008303639  0.0596804160955
0.0  689  791  791.238812836  2.11838117995  0.0976311328119
0.0  689  810  809.858626255  2.13834230301  0.0664413221825
0.0  688  829  828.800300985  2.14750141394  0.0549736551469
0.0  688  848  847.823580932  2.19754623244  0.0406562479315
0.0  687  867  867.148242845  2.25212419542  0.0566260455462
0.0  687  886  886.498694366  2.12500923498  0.0271107525337
0.0  686  906  906.207000558  2.32602726015  0.0374886501086
0.0  685  926  926.038449169  2.36607913758  0.0146295446846
0.0  685  946  945.977728665  2.42537038971  0.0140148095402
0.0  684  966  966.180526027  2.48392154976  0.0150712431655
0.0  683  987  986.58596574  2.50867511182  0.00583023651984
0.0  682  1007  1007.19256882  2.59741324901  0.022983703646
-1.84112629816  688  10  10.3566815795  1.62105716704  0.0345891913506
-1.84112629816  689  22  22.4792644531  1.59474853884  0.0213305648108
-1.84112629816  690  35  34.6677061613  1.62709852835  0.00822227227252
-1.84112629816  690  47  47.027427254  1.6774287376  0.0358409281744
-1.84112629816  691  59  59.4424465245  1.55527242284  0.0567111367662
-1.84112629816  691  72  71.9484630268  1.66119313614  0.0546046905063
-1.84112629816  692  85  84.5482339675  1.48748247085  0.0409904087977
-1.84112629816  692  97  97.2870517045  1.5558488907  0.0879737379745
-1.84112629816  693  110  110.087142645  1.62129520441  0.0762904689035
-1.84112629816  693  123  122.968279768  1.61005230857  0.0296305487879
-1.84112629816  694  136  135.979243056  1.64750484678  0.0159326497204
-1.84112629816  694  149  149.071123302  1.65374975847  -0.00231361240583
-1.84112629816  695  162  162.320013772  1.58858340788  0.0462928855424
-1.84112629816  695  176  175.580960222  1.62137112721  -0.00758514166267
-1.84112629816  696  189  189.012132669  1.68963884387  0.0101718925993
-1.84112629816  696  203  202.540822515  1.65099674847  0.0245839424087
-1.84112629816  697  216  216.168623355  1.65347358123  0.0639198542635
-1.84112629816  697  230  229.886539816  1.69389132605  0.0487486331435
-1.84112629816  697  244  243.722848009  1.65016746674  0.0464063420148
-1.84112629816  698  258  257.673739477  1.6267922657  0.0479952265124
-1.84112629816  698  272  271.726506327  1.65004458762  0.0230086054281
-1.84112629816  698  286  285.949089823  1.64192172524  0.0711210473477
-1.84112629816  699  300  300.270776924  1.62192940705  0.0690475145501
-1.84112629816  699  315  314.646766246  1.65576140951  0.002381443234
-1.84112629816  699  329  329.224840047  1.71813602746  0.0315983800971
-1.84112629816  700  344  343.826335427  1.74742772449  0.00127322534014
-1.84112629816  700  359  358.598629475  1.69918598582  0.0215383137729
-1.84112629816  700  373  373.494375085  1.72885908542  0.0271366279409
-1.84112629816  700  389  388.520775913  1.70593334846  0.049395980118
-1.84112629816  701  404  403.62318924  1.70265637872  0.0420891591397
-1.84112629816  701  419  418.882353754  1.75591736724  0.0558666386235
-1.84112629816  701  434  434.317901836  1.68140941368  0.093759172184
-1.84112629816  701  450  449.828225707  1.73927592965  0.0338621071111
-1.84112629816  701  465  465.495060975  1.67664596313  0.0287907957204
-1.84112629816  701  481  481.325840096  1.7691845872  0.03930943751
-1.84112629816  701  497  497.257187509  1.80552359463  0.028407791054
-1.84112629816  702  513  513.276849755  1.81579516288  0.0313510771176
-1.84112629816  702  529  529.47701059  1.80732111414  0.0333170073276
-1.84112629816  702  546  545.79793745  1.87346555142  0.0324923609933
-1.84112629816  702  562  562.305825379  1.81255673709  0.091477563487
-1.84112629816  702  579  578.871962517  1.87773149859  0.0489492769409
-1.84112629816  701  596  595.664756672  1.83500140323  0.0364418600981
-1.84112629816  701  613  612.602073759  1.80106971181  0.0492912594964
-1.84112629816  701  630  629.665002111  1.85827272159  0.0164922038955
-1.84112629816  701  647  646.885918838  1.96064968636  0.00791242013524
-1.84112629816  701  664  664.298942776  1.94109070109  0.0473869369973
-1.84112629816  701  682  681.782568951  2.01632015256  -0.00501282689761
-1.84112629816  701  699  699.494245927  2.07897316629  -0.0314213720033
-1.84112629816  700  717  717.384846603  2.05067865957  0.048005806031
-1.84112629816  700  735  735.364285815  2.0459335164  0.0422390892844
-1.84112629816  700  754  753.502536049  2.04742217289  0.0485252638165
-1.84112629816  699  772  771.869849138  2.12803842164  0.0517307237023
-1.84112629816  699  790  790.371308183  2.0368714856  0.0939298621323
-1.84112629816  698  809  809.059417414  2.14486127887  0.0719561513393
-1.84112629816  698  828  827.89070969  2.14278174312  0.0569477321557
-1.84112629816  697  847  846.963939235  2.20838986024  0.034906443304
-1.84112629816  697  866  866.201905319  2.18468438797  0.0661462589968
-1.84112629816  696  886  885.61161217  2.21944780173  0.0067862799097
-1.84112629816  696  905  905.202093312  2.28429912677  0.0244653652345
-1.84112629816  695  925  925.003874841  2.36945498707  -0.00043309106338
-1.84112629816  694  945  945.009810357  2.44977385601  -0.00123074228514
-1.84112629816  694  965  965.222422007  2.5771310926  0.0238939154392
-1.84112629816  693  986  985.517097703  2.45622472929  0.0139649803949
-1.84112629816  692  1006  1006.07948849  2.57273502555  0.020512706926
-1.66325629816  687  10  10.3386640855  1.63405723158  0.0262131182568
-1.66325629816  688  22  22.4906563514  1.63163295938  0.0384853647167
-1.66325629816  689  35  34.6872319887  1.63764954324  0.0105565896264
-1.66325629816  689  47  47.0282587108  1.67892043215  0.0357259637786
-1.66325629816  690  59  59.4482184641  1.59605616194  0.0574037979328
-1.66325629816  690  72  71.9435407588  1.64003217919  0.0541243715881
-1.66325629816  691  85  84.551985335  1.45379300496  0.0550820265948
-1.66325629816  691  97  97.2910025079  1.55820557576  0.0937884811504
-1.66325629816  692  110  110.090314882  1.6133570821  0.0722038811999
-1.66325629816  692  123  122.975591362  1.59957384796  0.0341550188896
-1.66325629816  693  136  135.977567739  1.63924158211  0.00936618616394
-1.66325629816  693  149  149.091770211  1.64816638125  0.0111570189806
-1.66325629816  694  162  162.328070849  1.61441666166  0.0400315763558
-1.66325629816  694  176  175.59469371  1.62808351754  -0.0107966563299
-1.66325629816  695  189  189.021548795  1.70957591559  0.00926073996742
-1.66325629816  695  203  202.547303174  1.64318215872  0.0152045151571
-1.66325629816  696  216  216.191731033  1.67992994654  0.0643215422849
-1.66325629816  696  230  229.902854726  1.71182279919  0.0538339826545
-1.66325629816  696  244  243.74148104  1.66806787935  0.0470296225781
-1.66325629816  697  258  257.680525381  1.61178142003  0.0475143045801
-1.66325629816  697  272  271.761000149  1.63998399108  0.0365532968747
-1.66325629816  698  286  285.958482314  1.67591353726  0.0459862624171
-1.66325629816  698  300  300.289314069  1.61370540228  0.0730724405431
-1.66325629816  698  315  314.659375469  1.62556347262  -0.00697668253521
-1.66325629816  699  329  329.23446523  1.6854334594  0.0344258581898
-1.66325629816  699  344  343.855894923  1.75057347756  0.00449927169985
-1.66325629816  699  359  358.635387723  1.73545321651  0.0217616996853
-1.66325629816  699  374  373.542026828  1.73709443517  0.036715526111
-1.66325629816  700  389  388.520814963  1.70430098993  0.047511708747
-1.66325629816  700  404  403.650072606  1.73958009386  0.0535493388969
-1.66325629816  700  419  418.914885585  1.76195474471  0.0523617034814
-1.66325629816  700  434  434.36324494  1.64844769308  0.106460584566
-1.66325629816  700  450  449.858205158  1.7568067446  0.0257528560997
-1.66325629816  700  466  465.528150758  1.69519241518  0.00632328206951
-1.66325629816  700  481  481.366076385  1.74556763515  0.0365886440655
-1.66325629816  701  497  497.257149367  1.80557102548  0.0257838906479
-1.66325629816  701  513  513.31235981  1.82548020275  0.0293305146052
-1.66325629816  701  530  529.506429418  1.83399561386  0.0332918926764
-1.66325629816  701  546  545.820495982  1.89505580279  0.0321713355429
-1.66325629816  701  562  562.326142886  1.80799295767  0.0893199612547
-1.66325629816  701  579  578.914048371  1.87777329322  0.0633601806239
-1.66325629816  701  596  595.664425066  1.83275975827  0.038092551736
-1.66325629816  700  613  612.644091509  1.81672794178  0.0269831186613
-1.66325629816  700  630  629.720979135  1.88386206019  0.0106837344575
-1.66325629816  700  647  646.957259276  1.97412119394  0.00790849449467
-1.66325629816  700  664  664.366720543  1.91530839915  0.0406255716552
-1.66325629816  700  682  681.860181158  2.02460294095  0.0107308156738
-1.66325629816  700  700  699.53897891  2.0003859496  0.0117507981098
-1.66325629816  699  717  717.452666411  2.06877824155  0.0400643301719
-1.66325629816  699  735  735.416133057  2.05242953292  0.0464634965007
-1.66325629816  699  754  753.548112667  2.072723902  0.0488058929517
-1.66325629816  698  772  771.941581801  2.14482071459  0.063877072777
-1.66325629816  698  790  790.43522373  2.05470109229  0.0995644610207
-1.66325629816  697  809  809.108809391  2.27732075455  0.0803196488539
-1.66325629816  697  828  827.96742788  2.15501286529  0.0690557428562
-1.66325629816  697  847  847.016085726  2.30716043723  0.0345508655153
-1.66325629816  696  866  866.277934147  2.17526489829  0.0626189918975
-1.66325629816  695  886  885.704176101  2.24278434264  0.00359266580508
-1.66325629816  695  905  905.275862224  2.27458984096  0.0221840035379
-1.66325629816  694  925  925.109653112  2.38944166411  0.0023338351772
-1.66325629816  693  945  945.111579642  2.43098367552  -0.00113494884596
-1.66325629816  693  965  965.226633909  2.50534646043  0.0045641229209
-1.66325629816  692  986  985.600335523  2.48103240823  0.0049411208171
-1.66325629816  691  1006  1006.17959394  2.61674181974  0.0234530393894
-1.48538629816  686  10  10.3487691298  1.60596259935  0.0369185456208
-1.48538629816  687  22  22.4791181312  1.60738675562  0.0364199119229
-1.48538629816  688  35  34.6873036845  1.61697897693  0.000162707818497
-1.48538629816  688  47  47.0151559294  1.6943061519  0.0286694371806
-1.48538629816  689  59  59.449413124  1.58620125304  0.053356384815
-1.48538629816  689  72  71.9543063426  1.64659652401  0.0516943897239
-1.48538629816  690  85  84.5552341399  1.46888066815  0.0549909916695
-1.48538629816  690  97  97.2889411334  1.55525098115  0.0925476756117
-1.48538629816  691  110  110.091129226  1.59675896173  0.0713505992517
-1.48538629816  691  123  122.981563004  1.61339213499  0.0220483606488
-1.48538629816  692  136  135.983724693  1.62886029706  0.0159317986751
-1.48538629816  692  149  149.099543831  1.61926593762  0.0178946633216
-1.48538629816  693  162  162.33408376  1.5762670139  0.045726533662
-1.48538629816  693  176  175.609879832  1.63238716452  -0.00883393209794
-1.48538629816  694  189  189.034161727  1.69343593767  0.00728544575906
-1.48538629816  694  203  202.562093726  1.64961911984  0.0156795214244
