# Band 2C   Etalon 1A   Slice 17
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  950  3  2.27668984908  4.29563025005  -0.320303401314
0.0  950  18  18.0774847506  5.20321689763  -0.0075617181811
0.0  951  34  33.6306343232  5.22537519666  -0.0338747460355
0.0  952  49  49.4114919695  5.49729890026  0.000274871701514
0.0  953  65  65.2599158022  5.70628101673  -0.00598173034114
0.0  954  81  81.1524392278  5.93247193702  -0.0161412511414
0.0  954  97  97.1581058101  6.09064256304  -0.0076812539104
0.0  955  113  113.415551482  6.19250744092  0.0107452433707
0.0  956  130  129.769132983  6.54656381761  0.00123095329886
0.0  956  146  146.062640949  6.92291444033  0.0116380735545
0.0  957  163  162.650944306  7.67989106746  0.00448134832542
0.0  958  180  179.408241986  8.66210151707  0.00460426755421
0.0  958  196  196.255174434  10.4495778476  0.0239443464882
0.0  959  214  213.515224392  11.8602445323  -0.00449305218944
0.0  959  231  230.900480627  15.0372180388  0.00405093092392
0.0  960  249  248.737913658  15.837351527  0.0070626470579
0.0  960  266  266.970423621  0.23009774789  0.0508984069285
0.0  961  285  285.166731541  18.7658675688  0.00759851644456
0.0  961  303  303.350332045  18.5322650051  0.0121185031956
0.0  962  321  321.647315732  17.9322296872  0.0261232616352
0.0  962  339  339.717230468  0.207903515542  0.0322408505513
0.0  963  358  357.995386383  16.6582903218  0.0103577428345
0.0  963  376  376.427447836  16.4891783555  0.0300011718332
0.0  963  395  394.648922136  16.4113072638  0.00527709982258
0.0  963  413  413.317759819  17.1865841586  0.0303900809959
0.0  964  431  432.132471861  18.4462684099  0.0646591353059
0.0  964  451  450.593597995  18.0031820555  0.00550095987386
0.0  964  470  469.572283953  18.9557884399  0.0153042072522
0.0  964  489  488.732505886  20.0670838628  0.0205730889834
0.0  964  507  508.793353539  23.4901538342  0.0897634687058
0.0  964  527  528.26307186  25.2164792054  0.0617049337756
0.0  964  548  548.110156364  26.2536931666  0.0313581246998
0.0  964  568  569.16128345  31.4619434102  0.0492771212766
0.0  964  591  589.67195596  34.8878158379  -0.0179071859246
0.0  964  613  611.758627954  38.551751765  -0.0102372300548
0.0  964  636  634.659455917  36.766970575  0.00178007917139
0.0  964  658  657.781847103  28.5404858962  0.0247618126305
0.0  963  679  680.703204874  0.470834330976  0.0817461719869
0.0  963  702  702.701807957  0.273636117797  0.0420641041072
0.0  963  725  725.390684651  18.7656553999  0.0310704328544
0.0  962  748  748.065174546  16.9289915256  0.0201508281703
0.0  962  771  771.309101157  15.3484952361  0.0293393644206
0.0  961  794  794.731865074  14.8198887938  0.0297873785914
0.0  960  818  818.587099276  13.8300326866  0.0257699470836
0.0  960  843  842.534673355  13.0626177527  0.00828579192696
0.0  959  867  867.00848177  12.7853483574  0.0132198340353
0.0  958  892  891.774891129  12.7263747276  0.00936195192022
0.0  957  917  916.892344401  12.3818669958  0.0265874034151
0.0  956  942  942.482186575  12.3442248781  0.0131258529537
0.0  955  968  968.330400301  12.6937320753  0.0226518655014
0.0  954  995  994.513926398  12.5519194237  0.0159414456456
-1.89468621199  959  5  4.18600388595  0.0706131821813  -0.117612279355
-1.89468621199  959  20  19.9248423197  4.7190336294  0.0282647444828
-1.89468621199  960  36  35.5736188948  4.95999951854  -0.0202985686025
-1.89468621199  961  51  51.2856513552  5.42149304827  -0.0425334456082
-1.89468621199  962  67  67.1500745262  5.57441100042  -0.029487638619
-1.89468621199  963  83  82.6960782195  6.7396430976  -0.00279292943817
-1.89468621199  963  99  99.0547802995  5.67522389936  0.0226275869666
-1.89468621199  964  115  115.185099539  6.14666199927  -0.0209714146419
-1.89468621199  965  132  131.677926818  7.04282784382  0.0196227237257
-1.89468621199  965  148  147.839220591  6.42777455979  0.0739224348448
-1.89468621199  966  165  164.462189383  7.83130394306  -0.0265910777858
-1.89468621199  967  182  181.55742185  10.7611550449  0.0394922824604
-1.89468621199  967  198  198.274214092  10.2512591303  0.0504405468463
-1.89468621199  968  216  215.663480148  0.146220677004  -0.0470580646667
-1.89468621199  968  233  234.788020515  0.200435728647  12.8896864989
-1.89468621199  969  250  251.083771149  15.4248404892  0.00514069414498
-1.89468621199  969  268  276.030966726  39.4743930286  116.001526442
-1.89468621199  970  286  287.126979897  16.2430939949  0.000500611802309
-1.89468621199  970  304  304.815901424  0.206777673602  0.136024718813
-1.89468621199  971  323  323.102686166  16.229143679  -0.0376166078595
-1.89468621199  971  341  341.061223429  15.216625152  -0.0313794500348
-1.89468621199  971  355  0.000590083934933  416.148856546  0.0
-1.89468621199  972  378  377.816805199  16.40023684  -0.0215369511034
-1.89468621199  972  396  396.180326769  16.644327974  0.0105686221688
-1.89468621199  972  415  416.797915943  0.376516033181  13.2487577424
-1.89468621199  973  434  433.457688348  18.4075779905  -0.0228461943246
-1.89468621199  973  453  453.31278554  0.357863396973  -7.47797866801
-1.89468621199  973  471  471.23197575  20.3906726605  0.0228989534573
-1.89468621199  973  490  490.520793579  22.8908316553  0.0377929028159
-1.89468621199  973  510  509.877790686  22.9232263733  0.0200552649855
-1.89468621199  973  529  530.089779601  26.9922350822  0.0580154154462
-1.89468621199  973  549  550.077750257  0.46262071854  0.0541688823593
-1.89468621199  973  571  570.314001304  32.2156532527  0.00509736986212
-1.89468621199  973  592  591.555223289  37.5554593555  0.0194711388784
-1.89468621199  973  614  614.335769522  1.00186711651  0.0588495919134
-1.89468621199  973  636  637.091173175  30.3670559502  0.0756480484606
-1.89468621199  973  651  2316.71969843  376678.440726  0.501385470319
-1.89468621199  972  666  790.541328831  5.8963319437  0.00341490909972
-1.89468621199  972  681  681.404389937  25.663873889  0.0580112333654
-1.89468621199  972  703  703.923001665  26.7269440843  0.0980677228724
-1.89468621199  971  730  728.547817441  24.6674380872  0.0353235816944
-1.89468621199  971  749  749.214143911  16.4021956215  0.043884817812
-1.89468621199  971  772  773.2910797  22.4891313627  0.00925494494152
-1.89468621199  970  796  795.646474293  0.177028133583  0.0386309994925
-1.89468621199  969  820  819.769037868  11.598445805  -0.0345392468956
-1.89468621199  969  844  843.206135993  16.4214848288  -0.0295642314284
-1.89468621199  968  868  867.984622056  13.05988341  0.0530197392435
-1.89468621199  967  893  892.813945182  12.6355366348  0.0384597844409
-1.89468621199  966  918  917.908747475  11.829225741  0.0246447188464
-1.89468621199  965  944  943.396537243  11.6696351313  0.00212957665767
-1.89468621199  964  969  969.341096571  0.149883218325  0.0450746480987
-1.89468621199  963  996  996.315373888  0.423927572072  -5.48773318319
-1.70064621199  958  5  4.42828096206  4.35549912937  -0.154429879312
-1.70064621199  958  20  19.7817079797  5.07499872271  -0.0140988504489
-1.70064621199  959  35  35.3390608745  5.27172726543  -0.00195039248807
-1.70064621199  960  51  51.0733162509  5.49621203205  -0.0200419728724
-1.70064621199  961  67  66.8834685021  5.61462946324  -0.0352773252549
-1.70064621199  962  83  82.9061843084  5.95293144379  -0.00728473643386
-1.70064621199  962  99  98.7860504745  5.96150258085  -0.0199852358956
-1.70064621199  963  115  115.015005795  6.23878455453  -0.00610199932169
-1.70064621199  964  131  131.429800513  6.49488901122  0.0214547903337
-1.70064621199  964  148  147.604809027  7.01451703551  0.00182888559383
-1.70064621199  965  164  164.331899128  7.6461642638  0.0275390606393
-1.70064621199  966  181  181.118411967  8.90372009309  0.0262637182858
-1.70064621199  966  198  197.906378162  9.95783412294  0.0208799235523
-1.70064621199  967  215  215.271305044  11.9094404692  0.0276569838488
-1.70064621199  967  232  232.514897007  14.9402357589  0.0317134313888
-1.70064621199  968  250  250.519717793  16.667328802  0.0246488255401
-1.70064621199  969  268  268.331587529  18.9705550201  0.0332661628849
-1.70064621199  969  286  286.319263229  21.5199051081  0.126557978263
-1.70064621199  969  304  304.683884293  17.7678839763  0.0332295630055
-1.70064621199  970  323  323.011670385  17.2698472001  -0.00727159806265
-1.70064621199  970  341  341.10856939  16.7267164961  0.00717542382988
-1.70064621199  971  359  359.556930808  16.4644310259  0.0277799892765
-1.70064621199  971  377  377.936709227  17.6008175165  0.0475913606029
