# Band 2C   Etalon 1A   Slice 5
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  762  9  8.71784174955  5.86237497942  -0.00754232850883
0.0  763  25  24.7517828508  6.20377102766  -0.0220669731394
0.0  764  41  40.9783238881  6.42484870524  -0.0177809866165
0.0  765  57  57.323374799  6.65654920082  -0.00743661566936
0.0  766  74  73.7566277941  6.82427782458  -0.0221171489245
0.0  766  90  90.286367194  7.15887442424  -0.00126103464445
0.0  767  107  107.015110364  7.42854009156  -0.00596818039835
0.0  768  124  123.873217405  7.82977048757  -0.00360268886322
0.0  768  141  140.803400738  8.38720851226  0.00171080863502
0.0  769  158  157.941296361  9.0790183948  0.015490154625
0.0  770  175  175.201253497  10.4120720249  0.0212445616302
0.0  770  193  192.506866215  11.0851971262  0.00136236269262
0.0  771  210  210.147360668  13.4477264068  0.0229536550292
0.0  771  228  227.916848052  15.604483228  0.0141233335375
0.0  772  246  245.968143231  18.2895315065  0.0117788178865
0.0  772  265  264.020488497  21.4818156049  -0.0279160729486
0.0  773  283  282.986452684  24.3647033747  0.0123190329281
0.0  773  302  302.331095591  26.8217535953  0.029530872978
0.0  774  321  321.354336274  25.7180698337  0.0178815734286
0.0  774  339  340.741123992  0.773684359704  0.0890331256894
0.0  774  359  359.442957209  25.3883782525  0.033547339377
0.0  775  379  378.219207738  21.1923807471  -0.007389635522
0.0  775  397  397.591863228  21.5396916003  0.0452881856251
0.0  775  417  416.675071707  18.8222801682  0.0151270657621
0.0  775  436  436.120511196  18.8474112699  0.0332437488443
0.0  776  456  455.564224988  17.5862875039  0.0102196956046
0.0  776  475  475.578521086  18.1445744281  0.0432392506622
0.0  776  495  495.648762521  18.5702311065  0.0466217784016
0.0  776  516  515.863835342  19.1672893994  0.0162781591189
0.0  776  537  536.333786912  20.0048533043  0.00288213560676
0.0  776  558  557.427231247  21.4034937019  0.00355258265838
0.0  776  579  578.885524189  25.0849409513  0.0141564402085
0.0  776  602  600.515992483  26.2777573766  -0.0226824067019
0.0  776  625  624.341574881  0.35865625021  -8.11232081043
0.0  775  647  646.688259242  29.5541663012  0.0270263826467
0.0  775  670  670.224993634  27.0841348943  0.0289247730555
0.0  775  693  693.80190759  24.5679990995  0.0447827632761
0.0  774  717  716.970917012  19.7621429993  0.0174922320121
0.0  774  740  740.667746177  0.221905340011  0.0299096163573
0.0  774  764  764.438732586  16.3831638128  0.0197939686665
0.0  773  788  788.548098295  15.0045350262  0.0189822852934
0.0  772  813  812.921240124  14.0412683164  0.0092570882893
0.0  772  837  837.526849212  13.0698495329  0.0176219790803
0.0  771  862  862.519400814  12.8978055104  0.0186520286338
0.0  770  888  887.672697514  12.2717132884  0.0205492861107
