# Band 2C   Etalon 1A   Slice 12
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  677  9  9.0986008462  5.79182885893  0.0230441289831
0.0  678  25  25.1985695444  6.20418572637  0.00307740139672
0.0  679  41  41.5218275253  6.37653176319  0.00629925222961
0.0  680  58  57.8664897721  6.54872649491  -0.0347219266738
0.0  680  74  74.4520873098  6.65060018668  -0.0054268835141
0.0  681  91  91.0825181374  6.91506041937  -0.0261931690315
0.0  682  108  107.852934552  7.01665710508  -0.0201064453232
0.0  682  125  124.751002457  7.22918813908  -0.0130961236976
0.0  683  142  141.805319377  7.52051212729  -0.000449829652999
0.0  684  159  158.939091353  8.00918576532  0.00424157543444
0.0  684  176  176.271541745  9.00337263916  0.0229504366577
0.0  685  194  193.629916459  9.52791013487  0.010199506268
0.0  685  211  211.253391419  11.2505840126  0.0285793804776
0.0  686  229  228.919125948  12.8053146825  0.0108220653269
0.0  686  247  246.729458838  15.1145487915  0.00305319649978
0.0  687  265  264.982252477  18.0667086142  0.013397946589
0.0  687  284  283.529090906  22.8999902641  -0.0151036851699
0.0  688  303  302.407333503  27.0756927762  -0.0101594465613
0.0  688  322  322.197951277  30.7279399655  0.0127245942517
0.0  689  341  342.289309872  0.924565768545  0.0691511681068
0.0  689  361  361.571913609  29.1252150325  0.0383929186293
0.0  689  381  380.629609914  23.8901151873  0.00637268193537
0.0  690  400  399.68430414  20.3264757623  0.00555547114486
0.0  690  419  419.320593758  20.6320086071  0.0361462594832
0.0  690  439  438.724135503  17.9276767281  0.0229162385862
0.0  690  458  458.466486636  18.0482819369  0.0398161461403
0.0  690  478  478.230287505  17.2406655112  0.0345000856409
0.0  690  498  498.350255857  17.4298250904  0.0392081274929
0.0  690  518  518.559966863  17.2262143291  0.0405452102532
0.0  691  539  539.095843499  17.7796526014  0.0229509029225
0.0  691  560  560.099125866  18.6292937278  0.0245909251602
0.0  690  581  581.356658067  19.9899639127  0.0313095537965
0.0  690  602  603.146363699  23.3397214265  0.0465499759224
0.0  690  625  625.110492263  26.0825877376  0.0267154519709
0.0  690  648  648.073082496  30.279537733  0.0212870038856
0.0  690  672  671.478352685  31.2158370116  0.0104896943243
0.0  689  696  695.182839381  26.9543430958  0.00676280077685
0.0  689  719  719.570312272  24.9671884316  0.0360323403503
0.0  689  743  743.076203411  21.5746148126  0.0239180723688
0.0  688  767  767.030122346  19.0363598314  0.0164314205771
0.0  688  791  791.146760738  16.9097100849  0.0165719700622
0.0  687  815  815.592446197  15.4564762651  0.0207354213871
0.0  687  840  840.329565004  14.3553372371  0.0141785542894
0.0  686  865  865.318909169  13.888819456  0.0151689839968
0.0  685  891  890.556330905  12.9837617078  0.00487590537427
0.0  684  916  916.284433928  12.840353322  0.0310126282476
0.0  683  943  942.470214774  12.8805150266  0.00716778235253
0.0  682  969  968.877655266  12.933233794  0.0176230577271
0.0  681  996  995.893538582  12.9222751154  0.0268378394217
-1.73943347956  686  9  9.07855247361  5.7652282113  0.0250887130848
-1.73943347956  687  25  25.1763845656  6.04768264098  0.00161821399827
-1.73943347956  688  41  41.4511954581  6.33131389377  -0.000544897125588
-1.73943347956  689  58  57.7545277842  6.63003083966  -0.0299890486463
-1.73943347956  689  74  74.3245585683  6.62497242419  -0.0109353191958
-1.73943347956  690  91  90.9711879788  6.86543708776  -0.0273306474879
-1.73943347956  691  108  107.711854371  7.13167558029  -0.0320239581972
-1.73943347956  692  125  124.571839281  7.23432162246  -0.02554954081
-1.73943347956  692  142  141.654061071  7.60040366134  -0.00342920269401
-1.73943347956  693  159  158.758339585  8.19294794657  0.00417614226621
-1.73943347956  693  176  176.069874237  8.63645919468  0.0202339861548
-1.73943347956  694  193  193.532850087  9.91473317083  0.0387044201784
-1.73943347956  695  211  210.869980282  11.2369839283  0.0107430186024
-1.73943347956  695  229  228.650689507  12.9788911526  -0.00152522901069
-1.73943347956  696  247  246.605751621  15.5171878045  -0.0018752848373
-1.73943347956  696  265  264.700304783  18.1914977362  -0.00430718720511
-1.73943347956  696  283  283.133692222  23.3920045227  0.0161497559935
-1.73943347956  697  303  302.162183143  27.1751356863  -0.0250513313591
-1.73943347956  697  321  322.172947351  33.4116733339  0.0565495280715
-1.73943347956  698  341  341.438340628  28.0962784632  0.0220761843798
-1.73943347956  698  360  361.250331534  27.8884761173  0.0591095739377
-1.73943347956  698  379  380.671649257  0.810429964081  0.0970013582009
-1.73943347956  699  399  399.525850218  0.289352323666  0.0397392559928
-1.73943347956  699  419  418.782396084  19.2769222794  0.0204376990042
-1.73943347956  699  438  438.285905689  18.2253934957  0.0377590458996
-1.73943347956  699  457  458.062155159  18.4366911832  0.0611267576875
-1.73943347956  699  477  477.859198198  17.6871391884  0.0552620883427
-1.73943347956  700  498  497.683893359  18.3454606912  0.01690996692
-1.73943347956  700  518  518.033433647  18.7386319424  0.0247440096941
-1.73943347956  700  539  538.464526298  18.9017095498  0.00558143467251
-1.73943347956  700  559  559.514854882  19.9418671947  0.0349913883618
-1.73943347956  700  580  580.934795013  22.8379769767  0.0445022687362
-1.73943347956  699  603  602.137784123  23.4878909238  -0.011197891214
